Membership No  Date Joined  Active  
    62920      2015-12-12   no    
    62125      2020-9-10    no    
    80691      2020-7-2     no    
    42181      2018-7-23    no    
    10849      2016-6-4     no    
    84102      2020-10-10   no    
    18925      2015-9-2     no    
    91431      2015-10-2    no    
    59817      2020-5-8     no    
    71353      2020-3-23    no    
    59203      2020-3-11    no    
    68160      2015-3-13    no    
    45888      2018-7-23    no    
    68556      2015-3-11    no    
    81853      2020-1-3     no    
    65378      2019-10-2    no    
